"_id","entity","user_id","date","request","action","operation","taskName","object_id","set_id","givDuration","givFreeTime","__v"
"5706a46d6e5aaa9f40000359","user","ertest","Thu Apr 07 2016 21:18:21 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","checked","להתלבש ","3","A","02:00","01:00","0"
"5706a46d6e5aaa9f4000035a","user","ertest","Thu Apr 07 2016 21:18:21 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","checked","לקום","4","A","02:00","01:00","0"
"5706a6116e5aaa9f4000035b","user","ertest","Thu Apr 07 2016 21:25:21 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","1","A","01:00","01:00","0"
"5706a6116e5aaa9f4000035c","user","ertest","Thu Apr 07 2016 21:25:21 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","2","A","10:00","01:00","0"
"5706a6116e5aaa9f4000035d","user","ertest","Thu Apr 07 2016 21:25:21 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","updated","להתלבש ","3","A","02:00","01:00","0"
"5706a6116e5aaa9f4000035e","user","ertest","Thu Apr 07 2016 21:25:21 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","updated","לקום","4","A","02:00","01:00","0"
"5706a65f6e5aaa9f40000360","user","ertest","Thu Apr 07 2016 21:26:39 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","1","A","01:00","01:00","0"
"5706a65f6e5aaa9f40000361","user","ertest","Thu Apr 07 2016 21:26:39 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","2","A","10:00","01:00","0"
"5706a65f6e5aaa9f40000362","user","ertest","Thu Apr 07 2016 21:26:39 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","updated","להתלבש ","3","A","02:00","01:00","0"
"5706a65f6e5aaa9f40000363","user","ertest","Thu Apr 07 2016 21:26:39 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","updated","לקום","4","A","02:00","01:00","0"
"5706a6816e5aaa9f40000365","user","ertest","Thu Apr 07 2016 21:27:13 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","checked","לשתות קפה","","A","","","0"
"5706a6816e5aaa9f40000366","user","ertest","Thu Apr 07 2016 21:27:13 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","checked","לצחצח שיניים","1","A","01:00","01:00","0"
"5706a6816e5aaa9f40000367","user","ertest","Thu Apr 07 2016 21:27:13 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","checked","לאכול","2","A","10:00","01:00","0"
"5706a6816e5aaa9f40000368","user","ertest","Thu Apr 07 2016 21:27:13 GMT+0000 (UTC)","/tasks/5703a5186e5aaa9f400001d1","updateTask","un-checked","משימה חדשה 1","","A","","","0"
"5706a6816e5aaa9f40000369","user","ertest","Thu Apr 07 2016 21:27:13 GMT+0000 (UTC)","/tasks/5703a51e6e5aaa9f400001d2","updateTask","un-checked","משימה חדשה 2","","A","","","0"
"5706a6816e5aaa9f4000036a","user","ertest","Thu Apr 07 2016 21:27:13 GMT+0000 (UTC)","/tasks/5703a5256e5aaa9f400001d3","updateTask","un-checked","משימה חדשה 3","","A","","","0"
"5706a6816e5aaa9f4000036b","user","ertest","Thu Apr 07 2016 21:27:13 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","checked","להתלבש ","3","A","02:00","01:00","0"
"5706a6816e5aaa9f4000036c","user","ertest","Thu Apr 07 2016 21:27:13 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","checked","לקום","4","A","02:00","01:00","0"
"5706a6956e5aaa9f4000036d","user","ertest","Thu Apr 07 2016 21:27:33 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","updated","לשתות קפה","","A","","","0"
"5706a6956e5aaa9f4000036e","user","ertest","Thu Apr 07 2016 21:27:33 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","2","A","01:00","01:00","0"
"5706a6956e5aaa9f4000036f","user","ertest","Thu Apr 07 2016 21:27:33 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","3","A","10:00","01:00","0"
