"_id","entity","object_id","date","request","action","set_id","user_id","result","taskName","__v"
"570085c46e5aaa9f40000112","object spark","6","Sun Apr 03 2016 05:53:56 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:30000","לזרוק זבל","0"
"570085d06e5aaa9f4000011a","object spark","2","Sun Apr 03 2016 05:54:08 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"5701d7216e5aaa9f4000013a","object spark","2","Mon Apr 04 2016 05:53:21 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"5701d7216e5aaa9f4000013b","object spark","1","Mon Apr 04 2016 05:53:21 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:240000","לשתות קפה","0"
"5701d7226e5aaa9f4000013c","object spark","4","Mon Apr 04 2016 05:53:22 GMT+0000 (UTC)","/getDuration/A/4","getDuration","A","ertest","4:240000","להתלבש","0"
"5701d7236e5aaa9f4000013d","object spark","6","Mon Apr 04 2016 05:53:23 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:30000","לזרוק זבל","0"
"5701d7246e5aaa9f4000013e","object spark","5","Mon Apr 04 2016 05:53:24 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:60000","להכין תיק","0"
"5701d7396e5aaa9f40000148","object spark","3","Mon Apr 04 2016 05:53:45 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:180000","לאכול","0"
"570328b56e5aaa9f4000017a","object spark","1","Tue Apr 05 2016 05:53:41 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:-1","","0"
"570328b66e5aaa9f4000017c","object spark","6","Tue Apr 05 2016 05:53:42 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:-1","","0"
"570328b76e5aaa9f4000017d","object spark","4","Tue Apr 05 2016 05:53:43 GMT+0000 (UTC)","/getDuration/A/4","getDuration","A","ertest","4:-1","","0"
"570328b76e5aaa9f4000017e","object spark","5","Tue Apr 05 2016 05:53:43 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:-1","","0"
"570328b96e5aaa9f4000017f","object spark","3","Tue Apr 05 2016 05:53:45 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:-1","","0"
"570328bb6e5aaa9f40000180","object spark","2","Tue Apr 05 2016 05:53:47 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:-1","","0"
"570328bc6e5aaa9f40000181","object spark","5","Tue Apr 05 2016 05:53:48 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:-1","","0"
"570353d16e5aaa9f400001ac","object spark","5","Tue Apr 05 2016 08:57:37 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:60000","להכין תיק","0"
"570353e56e5aaa9f400001b0","object spark","3","Tue Apr 05 2016 08:57:57 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:180000","לאכול","0"
"570354046e5aaa9f400001b2","object spark","4","Tue Apr 05 2016 08:58:28 GMT+0000 (UTC)","/getDuration/A/4","getDuration","A","ertest","4:240000","להתלבש","0"
"570354166e5aaa9f400001b7","object spark","6","Tue Apr 05 2016 08:58:46 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:30000","לזרוק זבל","0"
"5703541c6e5aaa9f400001b8","object spark","1","Tue Apr 05 2016 08:58:52 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:240000","לשתות קפה","0"
"570354256e5aaa9f400001ba","object spark","2","Tue Apr 05 2016 08:59:01 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"57047a306e5aaa9f4000021b","object spark","4","Wed Apr 06 2016 05:53:36 GMT+0000 (UTC)","/getDuration/A/4","getDuration","A","ertest","4:120000","משימה חדשה 1","0"
"57047a306e5aaa9f4000021c","object spark","3","Wed Apr 06 2016 05:53:36 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:180000","לאכול","0"
"57047a3e6e5aaa9f40000231","object spark","5","Wed Apr 06 2016 05:53:50 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:120000","משימה חדשה 2","0"
"57047a3e6e5aaa9f40000232","object spark","1","Wed Apr 06 2016 05:53:50 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:240000","לשתות קפה","0"
"57047a436e5aaa9f4000023a","object spark","6","Wed Apr 06 2016 05:53:55 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:120000","משימה חדשה 3","0"
"57047a516e5aaa9f40000244","object spark","2","Wed Apr 06 2016 05:54:09 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"5705cbbd6e5aaa9f400002d2","object spark","3","Thu Apr 07 2016 05:53:49 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:600000","לאכול","0"
"5705cbc56e5aaa9f400002d6","object spark","5","Thu Apr 07 2016 05:53:57 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:-1","","0"
"5705cbc76e5aaa9f400002d8","object spark","1","Thu Apr 07 2016 05:53:59 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:120000","לקום","0"
"5705cbd36e5aaa9f400002e9","object spark","2","Thu Apr 07 2016 05:54:11 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:120000","להתלבש ","0"
"5705cbe06e5aaa9f400002ed","object spark","5","Thu Apr 07 2016 05:54:24 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:-1","","0"
"5705cc1c6e5aaa9f40000300","object spark","5","Thu Apr 07 2016 05:55:24 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:-1","","0"
"5705cd636e5aaa9f40000304","object spark","5","Thu Apr 07 2016 06:00:51 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:-1","","0"
"5705cd836e5aaa9f40000309","object spark","5","Thu Apr 07 2016 06:01:23 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:-1","","0"
"5705f2fa6e5aaa9f40000318","object spark","2","Thu Apr 07 2016 08:41:14 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:120000","להתלבש ","0"
"5705f3276e5aaa9f4000031a","object spark","2","Thu Apr 07 2016 08:41:59 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:120000","להתלבש ","0"
"5705f4546e5aaa9f4000031d","object spark","2","Thu Apr 07 2016 08:47:00 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:-1","","0"
"5705f4906e5aaa9f4000031f","object spark","5","Thu Apr 07 2016 08:48:00 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:-1","","0"
"5705fb016e5aaa9f40000322","object spark","1","Thu Apr 07 2016 09:15:29 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:120000","לקום","0"
"5705fbeb6e5aaa9f40000324","object spark","5","Thu Apr 07 2016 09:19:23 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:-1","","0"
"5705fc136e5aaa9f40000327","object spark","3","Thu Apr 07 2016 09:20:03 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:-1","","0"
"5705fcbd6e5aaa9f4000032c","object spark","3","Thu Apr 07 2016 09:22:53 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:-1","","0"
"5705fcde6e5aaa9f4000032e","object spark","1","Thu Apr 07 2016 09:23:26 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:-1","","0"
"5705fd206e5aaa9f40000330","object spark","1","Thu Apr 07 2016 09:24:32 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:-1","","0"
"5705fd476e5aaa9f40000332","object spark","2","Thu Apr 07 2016 09:25:11 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:-1","","0"
"5705fd8a6e5aaa9f40000334","object spark","3","Thu Apr 07 2016 09:26:18 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:-1","","0"
"5705fdca6e5aaa9f40000339","object spark","4","Thu Apr 07 2016 09:27:22 GMT+0000 (UTC)","/getDuration/A/4","getDuration","A","ertest","4:60000","לצחצח שיניים","0"
"5705fdd86e5aaa9f4000033b","object spark","5","Thu Apr 07 2016 09:27:36 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:-1","","0"
"5705fe086e5aaa9f40000340","object spark","1","Thu Apr 07 2016 09:28:24 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:-1","","0"
"5705fe106e5aaa9f40000342","object spark","2","Thu Apr 07 2016 09:28:32 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:-1","","0"
"5705fe4b6e5aaa9f40000345","object spark","5","Thu Apr 07 2016 09:29:31 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:-1","","0"
"57071d2f6e5aaa9f400003a4","object spark","1","Fri Apr 08 2016 05:53:35 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:120000","לשתות קפה","0"
"57071d3d6e5aaa9f400003aa","object spark","3","Fri Apr 08 2016 05:53:49 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:600000","לאכול","0"
"57071d526e5aaa9f400003b2","object spark","5","Fri Apr 08 2016 05:54:10 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:120000","לקום","0"
"57071d566e5aaa9f400003b3","object spark","5","Fri Apr 08 2016 05:54:14 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:120000","לקום","0"
"57071d576e5aaa9f400003b4","object spark","5","Fri Apr 08 2016 05:54:15 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:120000","לקום","0"
"57071d5c6e5aaa9f400003b5","object spark","5","Fri Apr 08 2016 05:54:20 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:120000","לקום","0"
"57071d6a6e5aaa9f400003b6","object spark","5","Fri Apr 08 2016 05:54:34 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:120000","לקום","0"
"57071d736e5aaa9f400003b7","object spark","5","Fri Apr 08 2016 05:54:43 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:120000","לקום","0"
"57071d7a6e5aaa9f400003b8","object spark","5","Fri Apr 08 2016 05:54:50 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:120000","לקום","0"
